TYTUL1;Lokalizacja;TYTUL2;CATEGORIA
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew z rachunku; PAWE£ KWIATKOWSKI;;OP£ATY RÓ¯NE
Przelew z rachunku; PAWE£ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; SMYK SPOLKA AKCYJNA;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; Goraco Polecam / Pulaw;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CDA PL;INNE
P³atnoœæ kart¹; Kraj; SKYCASH  MOBIPARKING;INNE
P³atnoœæ kart¹; Kraj; ROSSMANN 16;CHEMIA I KIOSKI
Przelew z rachunku; DOBRY MEBEL DAGMATA MUCHA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SHELL 17;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Centrum Handlowe KACPE;INNE
Wyp³ata z bankomatu; Kraj; RCNN0Z62;BANKOMAT
